gid_n,possessions_seen,possessions_attached,n_away,n_home,pts_away,pts_home,expected_home,expected_away,attach_rate,home_point_error,away_point_error,possession_gap,pass_attach,pass_points,pass_balance,trusted,season_code
20000178,188,152,76.0,74.0,63.0,79.0,79.0,63.0,0.8085106382978723,0.0,0.0,2.0,False,True,True,False,00
20000179,192,192,95.0,96.0,77.0,75.0,80.0,74.0,1.0,-5.0,3.0,1.0,True,False,True,False,00
20000180,207,207,102.0,103.0,108.0,115.0,115.0,108.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000181,191,191,99.0,90.0,81.0,98.0,98.0,81.0,1.0,0.0,0.0,9.0,True,True,False,False,00
20000182,177,130,63.0,65.0,61.0,54.0,52.0,65.0,0.7344632768361582,2.0,-4.0,2.0,False,False,True,False,00
20000183,208,182,90.0,90.0,82.0,97.0,97.0,80.0,0.875,0.0,2.0,0.0,False,False,True,False,00
20000184,199,199,98.0,100.0,92.0,114.0,114.0,92.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000185,173,173,82.0,86.0,90.0,80.0,80.00002738298741,91.00000427164467,1.0,-2.7382987411783688e-05,-1.00000427164467,4.0,True,False,True,False,00
20000186,184,184,90.0,92.0,98.0,109.0,109.0,98.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000187,180,180,88.0,88.0,84.0,108.0,108.0,84.0,1.0,0.0,0.0,0.0,True,True,True,True,00
20000188,195,195,98.0,95.0,76.0,96.0,96.0,76.0,1.0,0.0,0.0,3.0,True,True,True,True,00
20000189,213,213,105.0,105.0,95.0,89.0,89.0,95.0,1.0,0.0,0.0,0.0,True,True,True,True,00
20000190,194,194,97.0,94.0,93.0,114.0,114.0,93.0,1.0,0.0,0.0,3.0,True,True,True,True,00
20000191,207,207,103.0,102.0,101.0,125.0,125.00000673723194,100.9999934267463,1.0,-6.737231942111066e-06,6.573253699571069e-06,1.0,True,True,True,True,00
20000192,179,141,71.0,69.0,65.0,72.0,72.0,63.0,0.7877094972067039,0.0,2.0,2.0,False,False,True,False,00
20000193,207,207,100.0,105.0,96.0,89.0,87.0,98.0,1.0,2.0,-2.0,5.0,True,False,False,False,00
20000194,189,150,72.0,75.0,67.0,78.0,78.0,67.0,0.7936507936507936,0.0,0.0,3.0,False,True,True,False,00
20000195,196,196,98.0,95.0,94.0,79.0,79.0,94.0,1.0,0.0,0.0,3.0,True,True,True,True,00
20000196,178,178,89.0,86.0,72.0,97.0,97.00003214718328,72.00003957041554,1.0,-3.214718327626542e-05,-3.9570415538037196e-05,3.0,True,True,True,True,00
20000197,207,207,100.0,105.0,104.0,94.0,95.0,104.0,1.0,-1.0,0.0,5.0,True,False,False,False,00
20000198,184,184,92.0,90.0,98.0,83.0,83.0,98.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000199,195,155,77.0,76.0,66.0,73.0,73.0,64.0,0.7948717948717948,0.0,2.0,1.0,False,False,True,False,00
20000200,198,152,75.0,76.0,76.0,61.0,61.0,76.0,0.7676767676767676,0.0,0.0,1.0,False,True,True,False,00
20000201,185,185,92.0,90.0,99.0,101.0,101.00005097314681,102.00003910941304,1.0,-5.097314681279386e-05,-3.000039109413038,2.0,True,False,True,False,00
20000202,179,151,75.0,73.0,78.0,58.0,56.0,78.0,0.8435754189944135,2.0,0.0,2.0,False,False,True,False,00
20000203,181,181,89.0,87.0,96.0,76.0,76.0,96.0,1.0,0.0,0.0,2.0,True,True,True,True,00
20000204,182,170,85.0,84.0,87.0,103.0,103.0,87.0,0.9340659340659341,0.0,0.0,1.0,False,True,True,False,00
20000205,187,187,91.0,94.0,88.0,81.0,81.0,88.0,1.0,0.0,0.0,3.0,True,True,True,True,00
20000206,213,213,106.0,105.0,107.0,124.0,124.0,107.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000207,173,173,86.0,87.0,105.0,93.0,93.0,105.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000208,178,178,88.0,87.0,84.0,81.0,81.0,84.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000209,197,183,90.0,92.0,85.0,88.0,92.99999882076378,87.0002073319972,0.9289340101522843,-4.999998820763778,-2.0002073319972027,2.0,False,False,True,False,00
20000210,188,188,93.0,92.0,88.0,86.0,86.0,88.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000211,181,156,80.0,75.0,67.0,85.0,85.0,64.0,0.861878453038674,0.0,3.0,5.0,False,False,False,False,00
20000212,188,146,73.0,72.0,60.0,73.0,75.0,65.0,0.776595744680851,-2.0,-5.0,1.0,False,False,True,False,00
20000213,205,205,101.0,102.0,107.0,100.0,100.0,107.0,1.0,0.0,0.0,1.0,True,True,True,True,00
20000214,190,190,96.0,91.0,79.0,82.0,82.0,79.0,1.0,0.0,0.0,5.0,True,True,False,False,00
20000215,185,185,94.0,91.0,83.0,106.0,106.0,83.0,1.0,0.0,0.0,3.0,True,True,True,True,00
