player_id,exposed_to_salvage,canonical_weighted_possessions,canonical_rapm,deterministic_change,all_aggregate_change,mi_mean_change,mi_minus_all_aggregate,mi_between_sd,mi_min_change,mi_max_change
184,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
185,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
187,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
190,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
192,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
193,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
194,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
195,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
197,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
198,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
199,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
201,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
202,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
203,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
204,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
208,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
209,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
210,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
211,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
212,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
213,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
216,False,0.0,-1.2628786905111156e-15,3.2051745217226424e-06,-1.2265369086467137e-05,3.2493925340965067e-06,1.5514761620563645e-05,7.658113261381965e-08,3.05466908696872e-06,3.407902579813382e-06
