season,season_type,player_id,player_name,season_games,layup_assists_created,dunk_assists_created,other_rim_assists_created,rim_assists_strict,rim_assists_all,layup_assists_created_per_game,dunk_assists_created_per_game,other_rim_assists_created_per_game,rim_assists_strict_per_game,rim_assists_all_per_game
1997-98,Playoffs,45,George McCloud,3.0,1,3,0,4,4,0.3333333333333333,1.0,0.0,1.3333333333333333,1.3333333333333333
1997-98,Playoffs,420,Jayson Williams,,4,0,0,4,4,,,,,
1997-98,Playoffs,954,Kerry Kittles,,4,0,0,4,4,,,,,
1997-98,Playoffs,913,Larry Johnson,20.0,4,0,0,4,4,0.2,0.0,0.0,0.2,0.2
1997-98,Playoffs,739,Rasheed Wallace,13.0,3,1,0,4,4,0.23076923076923078,0.07692307692307693,0.0,0.3076923076923077,0.3076923076923077
1997-98,Playoffs,64,Sam Perkins,13.0,4,0,0,4,4,0.3076923076923077,0.0,0.0,0.3076923076923077,0.3076923076923077
1997-98,Playoffs,950,Stephon Marbury,,3,1,0,4,4,,,,,
1997-98,Playoffs,70,Steve Kerr,11.0,3,1,0,4,4,0.2727272727272727,0.09090909090909091,0.0,0.36363636363636365,0.36363636363636365
1997-98,Playoffs,959,Steve Nash,,2,2,0,4,4,,,,,
1997-98,Playoffs,452,Vin Baker,,2,2,0,4,4,,,,,
1997-98,Playoffs,1005,Walt Williams,13.0,1,3,0,4,4,0.07692307692307693,0.23076923076923078,0.0,0.3076923076923077,0.3076923076923077
1997-98,Playoffs,213,Antonio Davis,13.0,0,3,0,3,3,0.0,0.23076923076923078,0.0,0.23076923076923078,0.23076923076923078
1997-98,Playoffs,686,Antonio McDyess,,3,0,0,3,3,,,,,
1997-98,Playoffs,258,Brian Grant,13.0,1,2,0,3,3,0.07692307692307693,0.15384615384615385,0.0,0.23076923076923078,0.23076923076923078
1997-98,Playoffs,17,Clyde Drexler,,2,1,0,3,3,,,,,
1997-98,Playoffs,905,Dale Davis,13.0,3,0,0,3,3,0.23076923076923078,0.0,0.0,0.23076923076923078,0.23076923076923078
1997-98,Playoffs,365,Derrick McKey,13.0,2,1,0,3,3,0.15384615384615385,0.07692307692307693,0.0,0.23076923076923078,0.23076923076923078
1997-98,Playoffs,695,Eldridge Recasner,,3,0,0,3,3,,,,,
1997-98,Playoffs,202,Gary Grant,,1,2,0,3,3,,,,,
1997-98,Playoffs,760,Jerome Kersey,14.0,2,1,0,3,3,0.14285714285714285,0.07142857142857142,0.0,0.21428571428571427,0.21428571428571427
1997-98,Playoffs,708,Kevin Garnett,4.0,3,0,0,3,3,0.75,0.0,0.0,0.75,0.75
1997-98,Playoffs,134,Kevin Johnson,,2,1,0,3,3,,,,,
1997-98,Playoffs,53,Mario Elie,17.0,3,0,0,3,3,0.17647058823529413,0.0,0.0,0.17647058823529413,0.17647058823529413
1997-98,Playoffs,121,Patrick Ewing,11.0,3,0,0,3,3,0.2727272727272727,0.0,0.0,0.2727272727272727,0.2727272727272727
1997-98,Playoffs,364,Rex Chapman,3.0,1,2,0,3,3,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0
1997-98,Playoffs,431,Shawn Kemp,,2,1,0,3,3,,,,,
1997-98,Playoffs,187,Terry Cummings,,3,0,0,3,3,,,,,
1997-98,Playoffs,345,Terry Porter,5.0,3,0,0,3,3,0.6,0.0,0.0,0.6,0.6
1997-98,Playoffs,958,Vitaly Potapenko,,2,1,0,3,3,,,,,
1997-98,Playoffs,702,Voshon Lenard,4.0,2,1,0,3,3,0.5,0.25,0.0,0.75,0.75
1997-98,Playoffs,156,Antoine Carr,4.0,2,0,0,2,2,0.5,0.0,0.0,0.5,0.5
1997-98,Playoffs,717,Arvydas Sabonis,13.0,0,2,0,2,2,0.0,0.15384615384615385,0.0,0.15384615384615385,0.15384615384615385
1997-98,Playoffs,769,B.J. Armstrong,2.0,2,0,0,2,2,1.0,0.0,0.0,1.0,1.0
1997-98,Playoffs,356,Chris Morris,1.0,1,1,0,2,2,1.0,1.0,0.0,2.0,2.0
1997-98,Playoffs,107,Dale Ellis,,2,0,0,2,2,,,,,
1997-98,Playoffs,922,Elden Campbell,,0,2,0,2,2,,,,,
1997-98,Playoffs,785,Eric Murdock,,1,1,0,2,2,,,,,
1997-98,Playoffs,779,Glen Rice,7.0,2,0,0,2,2,0.2857142857142857,0.0,0.0,0.2857142857142857,0.2857142857142857
1997-98,Playoffs,323,Greg Foster,8.0,2,0,0,2,2,0.25,0.0,0.0,0.25,0.25
1997-98,Playoffs,165,Hakeem Olajuwon,4.0,2,0,0,2,2,0.5,0.0,0.0,0.5,0.5
1997-98,Playoffs,1521,Jacque Vaughn,2.0,2,0,0,2,2,1.0,0.0,0.0,1.0,1.0
1997-98,Playoffs,383,Kendall Gill,,1,1,0,2,2,,,,,
1997-98,Playoffs,1074,Matt Maloney,,2,0,0,2,2,,,,,
1997-98,Playoffs,136,P.J. Brown,5.0,2,0,0,2,2,0.4,0.0,0.0,0.4,0.4
1997-98,Playoffs,980,Zydrunas Ilgauskas,,0,2,0,2,2,,,,,
1997-98,Playoffs,673,Alan Henderson,1.0,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
1997-98,Playoffs,194,Anthony Bowie,,1,0,0,1,1,,,,,
1997-98,Playoffs,82,Bill Wennington,,1,0,0,1,1,,,,,
1997-98,Playoffs,682,Bob Sura,,1,0,0,1,1,,,,,
