player_name,pts,ast,stl,blk,reb,fga,fg3a,fta,tov,min_seconds,fgm,fg3m,pip,player_id
Trayce Jackson-Davis,164,34,15,21,131,110,1,62,19,26760.2,64,1,126,1631218
Pat Spencer,292,160,33,3,103,265,97,41,54,46421.3,112,36,128,1630311
Isaac Jones,5,1,0,0,2,4,2,2,0,1094.0,2,0,4,1642403
Domantas Sabonis,301,78,18,4,216,221,27,77,51,33815.3,120,5,218,1627734
Rasheer Fleming,113,9,9,7,66,111,68,15,13,19474.999999999996,42,21,42,1642853
Jordan Goodwin,482,120,80,11,256,449,239,43,52,72387.60000000002,183,85,178,1630692
Khaman Maluach,53,4,2,15,49,42,10,13,19,10144.1,21,2,38,1642863
Jase Richardson,202,51,13,2,53,163,71,37,24,30395.9,75,25,90,1642859
Julian Phillips,109,7,21,6,44,93,50,15,8,20928.5,40,16,46,1641763
Jacob Toppin,8,1,0,1,2,6,0,0,0,1012.0,4,0,8,1631210
Caleb Houstan,23,2,1,1,6,15,12,3,4,3225.0,7,6,2,1631216
Mason Plumlee,26,16,6,0,40,12,0,12,9,7471.0,9,0,18,203486
James Wiseman,13,3,0,1,8,10,0,2,5,3507.7,6,0,12,1630164
RayJ Dennis,64,30,4,4,23,73,39,9,15,10602.0,22,12,18,1642484
Julian Strawther,294,44,20,4,85,229,109,60,28,38799.799999999996,105,36,126,1631124
DaRon Holmes II,83,16,0,4,29,56,41,11,8,11666.6,28,18,16,1641747
Zeke Nnaji,176,24,15,21,123,135,47,42,24,33627.3,65,13,100,1630192
Jalen Pickett,224,103,13,4,106,202,111,13,30,43347.8,85,42,66,1629618
Isaiah Livers,65,21,12,8,60,61,39,12,12,19835.0,22,12,18,1630587
De'Andre Hunter,615,90,31,6,185,501,246,143,75,70529.2,208,75,196,1629631
Mark Sears,22,2,0,0,2,13,8,8,4,1564.9,6,4,4,1641813
Liam McNeeley,115,23,5,3,60,88,58,31,12,20521.199999999997,34,22,24,1642862
Pat Connaughton,94,17,7,1,46,70,44,16,9,13958.3,33,17,32,1626192
Quenton Jackson,297,72,19,6,72,204,82,85,37,34458.0,98,32,124,1631245
Miles Kelly,43,12,4,1,24,44,33,1,6,8023.400000000001,16,10,8,1642939
Collin Murray-Boyles,366,93,44,41,233,271,48,72,51,62778.40000000001,151,17,260,1642867
Bogdan Bogdanović,138,48,10,1,53,128,78,23,24,23350.7,47,25,30,203992
Devin Carter,156,51,20,5,61,147,58,47,27,21844.6,55,9,90,1642269
Chris Mañon,2,1,3,2,6,2,2,2,1,1505.1,0,0,0,1643024
Colby Jones,2,2,0,0,4,3,2,0,0,409.0,1,0,2,1641732
Bobi Klintman,17,4,3,0,18,24,12,3,5,3861.0000000000005,7,3,8,1641752
Tolu Smith,33,6,2,5,33,21,0,18,5,5303.200000000001,10,0,20,1642449
Thomas Bryant,248,28,12,20,134,177,91,50,18,29086.300000000003,87,31,112,1628418
Luke Travers,28,9,7,4,24,36,16,9,3,6185.5,9,1,16,1631247
Hunter Tyson,46,17,2,1,36,52,33,13,5,9714.0,14,7,12,1641816
Eric Gordon,33,3,4,1,2,21,14,2,3,4425.0,12,8,8,201569
Hunter Sallis,7,4,0,1,1,5,0,2,5,1540.4,3,0,6,1642282
Noah Penda,193,46,21,16,151,164,68,42,34,34141.5,70,25,84,1642869
Aaron Holiday,224,37,17,4,37,179,118,36,24,31894.4,74,45,50,1628988
JD Davison,55,28,5,4,23,54,28,9,7,11012.0,21,8,24,1631120
Jae'Sean Tate,92,17,9,3,47,78,24,7,10,17193.0,40,8,60,1630256
Jeff Green,50,4,1,1,15,42,28,1,1,6615.0,19,11,12,201145
E.J. Liddell,22,0,1,0,11,17,11,3,0,2920.0,8,4,8,1630604
Tyson Etienne,12,1,0,0,0,15,13,0,1,2064.0,4,4,0,1630623
DeAndre Jordan,36,5,3,7,55,20,0,11,9,7820.0,15,0,30,201599
Bryce McGowens,336,59,26,8,87,235,93,93,16,51445.99999999999,113,38,142,1631121
Micah Peavy,202,47,31,6,93,223,90,17,14,41912.49999999998,84,21,120,1642877
Karlo Matković,278,45,17,47,182,182,68,30,29,43235.2,113,30,166,1631255
Ron Harper Jr.,55,12,3,8,31,60,49,2,4,11566.1,20,14,12,1631199
Ja'Kobe Walter,333,53,49,8,120,268,172,55,29,58873.60000000001,113,62,98,1642266
Nick Smith Jr.,146,28,9,2,20,133,69,11,19,19105.599999999995,56,27,46,1641733
Caleb Love,507,122,28,4,114,485,290,49,62,59955.50000000001,189,93,156,1631126
Sidy Cissoko,342,86,48,22,140,292,175,78,61,74308.7,117,55,120,1631321
Jamir Watkins,189,30,26,16,111,158,84,35,17,35908.6,71,24,90,1642364
Trendon Watford,237,99,11,13,131,187,35,50,42,38256.8,95,10,166,1630570
Myron Gardner,126,32,14,5,90,93,50,21,7,17419.499999999996,45,21,48,1642066
Mohamed Diawara,175,30,14,6,68,143,92,10,21,25250.6,65,38,38,1642885
Jahmyl Telfort,1,1,1,0,3,4,4,4,1,1922.0,0,0,0,1643141
Mac McClung,23,2,5,2,5,25,12,4,3,2841.5,9,2,14,1630644
Elijah Harkless,49,26,13,1,18,43,23,21,6,11692.4,14,5,16,1641989
Orlando Robinson,7,3,1,0,4,5,2,0,0,1489.0,3,1,4,1631115
Isaiah Joe,599,78,42,9,144,420,331,104,35,71364.10000000002,185,137,72,1630198
Bilal Coulibaly,442,106,60,40,181,366,145,125,62,66003.4,154,43,212,1641731
Mitchell Robinson,238,43,37,51,395,144,0,86,30,53202.69999999999,102,0,204,1629011
Vince Williams Jr.,300,167,28,16,155,292,177,50,70,49163.7,103,55,82,1631246
Kyle Anderson,185,68,29,14,84,132,6,48,24,31165.8,74,4,134,203937
Robert Williams III,298,47,31,67,293,178,19,42,38,43979.99999999999,132,7,240,1629057
Jeremiah Robinson-Earl,101,15,9,1,103,100,41,18,12,21636.899999999994,37,10,48,1630526
Daniel Gafford,374,44,36,59,293,235,0,108,56,57842.200000000004,147,0,290,1629655
Kevon Looney,52,25,6,9,96,52,9,8,8,15032.2,23,1,42,1626172
Johni Broome,10,4,3,2,16,24,5,6,3,3285.7000000000003,4,0,8,1641780
Kyle Lowry,14,9,2,1,6,12,12,6,2,4306.4,3,3,0,200768
KJ Simpson,89,43,17,0,33,96,39,18,24,14763.6,33,12,40,1642354
Kevin Love,222,63,12,9,191,182,128,39,27,33571.0,72,46,44,201567
