player_id,player_name,games,minutes_on_total,minutes_on_avg,on_diff_total,off_diff_total,on_off_diff_total,on_diff_avg,off_diff_avg,on_off_diff_avg,on_diff_adj_total,off_diff_adj_total,on_off_diff_adj_total,on_diff_adj_avg,off_diff_adj_avg,on_off_diff_adj_avg,first_game_date,last_game_date,latest_team_id
1627751,Poeltl,7,134.68,19.24,5.0,-17.0,22.0,0.714,-2.429,3.143,-1.326,-36.902,35.577,-0.189,-5.272,5.082,2026-04-18,2026-05-03,1610612761
1628368,Fox,21,703.85,33.517,118.0,57.0,61.0,5.619,2.714,2.905,100.051,-5.787,105.838,4.764,-0.276,5.04,2026-04-19,2026-06-13,1610612759
1628404,Hart,19,613.82,32.306,201.0,82.0,119.0,10.579,4.316,6.263,130.59,39.756,90.831,6.873,2.092,4.781,2026-04-18,2026-06-13,1610612752
1630532,Wagner,4,121.73,30.432,24.0,-14.0,38.0,6.0,-3.5,9.5,7.85,-9.737,17.588,1.962,-2.434,4.397,2026-04-19,2026-04-27,1610612753
201935,Harden,18,671.94,37.33,7.0,-62.0,69.0,0.389,-3.444,3.833,62.191,-16.219,78.41,3.455,-0.901,4.356,2026-04-18,2026-05-25,1610612739
1630545,Shannon Jr.,9,202.98,22.553,-17.0,-64.0,47.0,-1.889,-7.111,5.222,-17.317,-55.033,37.715,-1.924,-6.115,4.191,2026-04-25,2026-05-15,1610612750
1642419,Battle,6,71.19,11.865,-1.0,-1.0,0.0,-0.167,-0.167,0.0,-2.008,-25.88,23.872,-0.335,-4.313,3.979,2026-04-18,2026-05-03,1610612761
1627936,Caruso,15,352.57,23.505,121.0,-14.0,135.0,8.067,-0.933,9.0,79.346,20.477,58.873,5.29,1.365,3.925,2026-04-19,2026-05-30,1610612760
1629675,Reid,12,323.37,26.948,-15.0,-55.0,40.0,-1.25,-4.583,3.333,-14.15,-59.671,45.519,-1.179,-4.973,3.793,2026-04-18,2026-05-15,1610612750
1629057,Williams III,5,108.28,21.656,4.0,-66.0,70.0,0.8,-13.2,14.0,6.084,-12.633,18.718,1.217,-2.527,3.744,2026-04-19,2026-04-28,1610612757
1628384,Anunoby,17,585.86,34.462,163.0,76.0,87.0,9.588,4.471,5.118,114.096,51.498,62.597,6.712,3.029,3.682,2026-04-18,2026-06-13,1610612752
1630241,Merrill,17,338.24,19.896,5.0,-50.0,55.0,0.294,-2.941,3.235,46.845,-13.874,60.718,2.756,-0.816,3.572,2026-04-18,2026-05-25,1610612739
1629731,Wade,18,407.49,22.638,28.0,-83.0,111.0,1.556,-4.611,6.167,54.579,-8.606,63.186,3.032,-0.478,3.51,2026-04-18,2026-05-25,1610612739
1629020,Vanderbilt,7,75.24,10.749,-7.0,-21.0,14.0,-1.0,-3.0,2.0,-8.042,-31.511,23.468,-1.149,-4.502,3.353,2026-04-18,2026-05-11,1610612747
1628969,Bridges,19,608.15,32.008,195.0,88.0,107.0,10.263,4.632,5.632,116.825,53.521,63.305,6.149,2.817,3.332,2026-04-18,2026-06-13,1610612752
1642873,Williams,1,1.55,1.55,-1.0,-15.0,14.0,-1.0,-15.0,14.0,-1.908,-5.204,3.295,-1.908,-5.204,3.295,2026-04-28,2026-04-28,1610612738
1631243,Gueye,6,50.45,8.408,-31.0,-74.0,43.0,-5.167,-12.333,7.167,-27.392,-46.461,19.069,-4.565,-7.744,3.178,2026-04-18,2026-04-30,1610612737
