player_name,Team,G,MP,VORP,BPM,WS,PER,TS%
Vít Krejčí,2TM,64.0,1387.0,0.2,-1.5,2.9,11.2,0.611
Vít Krejčí,ATL,46.0,1028.0,0.2,-1.3,2.2,11.3,0.639
Vít Krejčí,POR,18.0,359.0,0.0,-2.2,0.7,10.7,0.538
Gary Trent Jr.,MIL,65.0,1377.0,-1.2,-5.4,-0.1,8.0,0.533
Sam Merrill,CLE,52.0,1377.0,0.7,0.1,3.7,13.6,0.644
Anfernee Simons,2TM,55.0,1372.0,0.7,-0.2,2.9,14.5,0.576
Anfernee Simons,BOS,49.0,1202.0,0.8,0.5,2.9,15.1,0.579
Anfernee Simons,CHI,6.0,170.0,-0.1,-5.0,0.0,10.2,0.554
Baylor Scheierman,BOS,75.0,1366.0,0.9,0.5,3.6,11.3,0.613
Aaron Wiggins,OKC,63.0,1362.0,0.4,-0.8,2.1,11.8,0.542
Will Richard,GSW,67.0,1354.0,0.1,-1.6,2.6,11.2,0.603
Malik Monk,SAC,61.0,1354.0,0.2,-1.5,0.9,14.0,0.565
Gui Santos,GSW,66.0,1352.0,0.6,-0.4,2.7,14.3,0.616
Justin Champagnie,WAS,68.0,1345.0,0.6,-0.3,3.2,17.5,0.592
Aaron Nesmith,IND,45.0,1335.0,-0.5,-3.4,0.7,10.8,0.554
Jose Alvarado,2TM,67.0,1318.0,0.2,-1.3,2.0,11.9,0.542
Jose Alvarado,NOP,41.0,896.0,0.0,-2.0,1.1,11.2,0.558
Jose Alvarado,NYK,26.0,422.0,0.2,0.2,1.0,13.4,0.513
Kobe Sanders,LAC,66.0,1317.0,-0.3,-2.8,1.4,10.1,0.599
Egor Dёmin,BRK,52.0,1308.0,0.1,-1.6,0.9,11.3,0.561
Josh Okogie,HOU,76.0,1305.0,0.3,-1.1,2.7,10.1,0.553
Derrick Jones Jr.,LAC,48.0,1305.0,0.5,-0.5,2.9,13.6,0.602
Alex Sarr,WAS,48.0,1305.0,0.9,0.7,1.7,19.4,0.544
Ryan Dunn,PHO,68.0,1302.0,0.3,-1.0,2.4,11.6,0.527
Dean Wade,CLE,58.0,1300.0,0.7,0.3,3.1,11.0,0.577
Yves Missi,NOP,66.0,1297.0,0.1,-1.7,2.7,15.0,0.556
Drake Powell,BRK,62.0,1294.0,-1.2,-5.8,0.1,7.5,0.525
Isaiah Stewart,DET,56.0,1284.0,0.7,0.0,3.9,15.0,0.629
Kris Murray,POR,55.0,1283.0,0.0,-1.9,1.9,9.2,0.537
Ziaire Williams,BRK,56.0,1281.0,0.1,-1.7,1.6,12.5,0.579
Jaylin Williams,OKC,65.0,1277.0,1.6,2.8,4.2,13.8,0.597
Darius Garland,2TM,43.0,1277.0,0.6,0.0,2.6,17.5,0.59
Darius Garland,CLE,26.0,792.0,0.1,-1.6,1.4,15.6,0.567
Darius Garland,LAC,17.0,485.0,0.5,2.5,1.2,20.6,0.623
Stephen Curry,GSW,41.0,1273.0,2.4,5.4,4.0,22.7,0.637
Nicolas Batum,LAC,72.0,1267.0,0.3,-1.1,1.7,8.3,0.6
Jordan Miller,LAC,58.0,1263.0,0.7,0.1,3.2,15.9,0.622
Kevin Porter Jr.,MIL,38.0,1261.0,1.3,2.0,2.8,18.7,0.567
Jericho Sims,MIL,65.0,1256.0,-0.4,-3.3,2.9,12.5,0.768
Jordan Clarkson,NYK,70.0,1246.0,-0.4,-3.3,1.9,11.7,0.551
Collin Murray-Boyles,TOR,56.0,1232.0,1.0,1.1,3.9,16.5,0.62
Nolan Traoré,BRK,55.0,1227.0,-1.5,-6.9,-1.6,7.7,0.48
Zach LaVine,SAC,39.0,1224.0,0.2,-1.5,1.3,14.7,0.614
Coby White,2TM,48.0,1217.0,0.2,-1.5,1.9,16.0,0.592
Coby White,CHI,29.0,843.0,-0.3,-3.3,0.7,14.2,0.586
Coby White,CHO,19.0,374.0,0.4,2.7,1.2,20.0,0.604
Jaxson Hayes,LAL,66.0,1207.0,0.9,1.1,4.9,18.4,0.758
Joel Embiid,PHI,38.0,1201.0,2.1,4.9,4.0,24.7,0.605
Adem Bona,PHI,69.0,1198.0,-0.3,-2.9,2.8,13.0,0.641
Santi Aldama,MEM,43.0,1198.0,1.1,1.7,2.3,16.4,0.572
Pat Spencer,GSW,64.0,1196.0,-0.1,-2.2,1.4,12.2,0.519
Daniel Gafford,DAL,55.0,1195.0,0.8,0.7,4.2,18.8,0.677
Marvin Bagley III,2TM,59.0,1193.0,0.9,0.9,3.8,20.4,0.664
Marvin Bagley III,WAS,38.0,731.0,0.5,0.7,2.2,20.6,0.667
Marvin Bagley III,DAL,21.0,462.0,0.4,1.2,1.6,20.1,0.661
Danny Wolf,BRK,57.0,1187.0,-0.1,-2.5,0.8,12.3,0.521
Jimmy Butler,GSW,38.0,1182.0,2.3,5.6,5.8,23.6,0.646
Andre Drummond,PHI,61.0,1180.0,0.4,-0.8,3.1,16.0,0.54
GG Jackson II,MEM,55.0,1178.0,0.2,-1.2,1.3,15.7,0.591
Bones Hyland,MIN,71.0,1177.0,1.1,1.7,3.1,15.1,0.599
De'Andre Hunter,2TM,45.0,1176.0,-0.6,-3.9,1.1,11.4,0.545
De'Andre Hunter,CLE,43.0,1125.0,-0.4,-3.4,1.3,12.1,0.553
De'Andre Hunter,SAC,2.0,51.0,-0.2,-16.5,-0.2,-3.4,0.347
Mitchell Robinson,NYK,60.0,1175.0,1.6,3.5,5.8,21.1,0.676
Mouhamed Gueye,ATL,76.0,1167.0,0.2,-1.4,2.7,12.0,0.538
Day'Ron Sharpe,BRK,62.0,1160.0,1.0,1.4,3.5,20.6,0.638
Quinten Post,GSW,67.0,1159.0,0.3,-1.1,1.9,13.0,0.56
Jordan Walsh,BOS,66.0,1157.0,0.7,0.3,3.6,13.3,0.629
Svi Mykhailiuk,UTA,50.0,1156.0,0.1,-1.7,1.1,11.5,0.626
Simone Fontecchio,MIA,69.0,1146.0,0.6,0.1,2.3,13.3,0.567
Landry Shamet,NYK,50.0,1143.0,0.5,-0.4,2.5,11.3,0.598
Dru Smith,MIA,70.0,1141.0,1.2,2.1,3.0,14.5,0.532
Isaiah Hartenstein,OKC,47.0,1137.0,1.8,4.2,5.4,19.8,0.631
Caris LeVert,DET,58.0,1126.0,0.5,-0.3,1.5,10.9,0.519
Taylor Hendricks,2TM,59.0,1118.0,-0.1,-2.4,1.1,12.2,0.566
Taylor Hendricks,UTA,33.0,492.0,-0.2,-3.5,0.3,10.2,0.574
Taylor Hendricks,MEM,26.0,626.0,0.1,-1.5,0.8,13.8,0.562
Gary Payton II,GSW,71.0,1115.0,1.1,2.1,3.5,18.3,0.63
Jakob Poeltl,TOR,44.0,1110.0,1.0,1.7,4.3,18.3,0.697
Jared McCain,2TM,65.0,1109.0,0.0,-2.1,1.4,11.7,0.555
Jared McCain,PHI,37.0,620.0,-0.3,-3.7,0.3,9.4,0.506
Jared McCain,OKC,28.0,489.0,0.2,-0.1,1.2,14.5,0.604
Craig Porter Jr.,CLE,62.0,1103.0,1.1,2.0,2.6,13.7,0.517
Ryan Nembhard,DAL,58.0,1102.0,-0.6,-4.3,0.5,10.4,0.488
Jalen Smith,CHI,53.0,1095.0,0.4,-0.6,2.6,16.6,0.608
Jarred Vanderbilt,LAL,63.0,1093.0,0.1,-1.6,1.7,11.2,0.548
Kentavious Caldwell-Pope,MEM,51.0,1088.0,-0.1,-2.5,0.8,11.0,0.533
Jusuf Nurkić,UTA,41.0,1083.0,0.9,1.1,1.5,16.4,0.548
Paul George,PHI,35.0,1080.0,1.0,1.7,2.4,16.8,0.57
De'Anthony Melton,GSW,47.0,1078.0,-0.1,-2.5,0.7,13.4,0.515
Luka Garza,BOS,67.0,1064.0,1.2,2.5,5.0,19.7,0.689
Hugo González,BOS,73.0,1059.0,0.1,-1.7,2.1,10.0,0.557
Miles McBride,NYK,40.0,1056.0,0.8,0.9,2.5,12.8,0.575
John Konchar,2TM,54.0,1052.0,0.7,0.7,2.2,13.3,0.567
John Konchar,MEM,30.0,435.0,0.5,2.3,1.0,12.9,0.619
John Konchar,UTA,24.0,617.0,0.2,-0.5,1.2,13.5,0.536
Gradey Dick,TOR,74.0,1050.0,-0.5,-3.7,1.4,10.6,0.537
Corey Kispert,2TM,56.0,1042.0,0.0,-2.1,1.7,12.9,0.604
Corey Kispert,WAS,19.0,370.0,0.1,-1.1,0.6,14.0,0.649
Corey Kispert,ATL,37.0,672.0,-0.1,-2.6,1.1,12.2,0.583
Giannis Antetokounmpo,MIL,36.0,1039.0,3.0,9.5,5.0,32.7,0.658
Ousmane Dieng,2TM,55.0,1021.0,-0.3,-3.3,0.4,10.6,0.522
Ousmane Dieng,OKC,27.0,295.0,0.1,-1.3,0.6,10.0,0.534
Ousmane Dieng,MIL,28.0,726.0,-0.4,-4.1,-0.2,10.8,0.518
Alex Caruso,OKC,56.0,1020.0,1.0,1.9,2.6,12.8,0.54
Caleb Love,POR,48.0,1011.0,-0.3,-3.1,0.6,10.7,0.498
Tyler Herro,MIA,32.0,1010.0,1.1,2.2,2.4,17.4,0.607
Guerschon Yabusele,2TM,67.0,1007.0,0.0,-2.2,1.4,11.1,0.543
