game_id,poss_index,offense_team,defense_team,off_p1,off_p2,off_p3,off_p4,off_p5,def_p1,def_p2,def_p3,def_p4,def_p5,points,points_adj,ended_by,period,date
22500947,158,1610612739,1610612753,203471,1628378,1628418,1631165,1642281,1628975,1629021,1630217,1641724,1642869,0,0.0,defensive_rebound,3,2026-03-11
22500947,159,1610612753,1610612739,1628975,1629021,1630217,1641724,1642869,203471,1628378,1628418,1631165,1642281,2,2.0,made_shot,3,2026-03-11
22500947,160,1610612739,1610612753,203471,1628378,1628418,1631165,1642281,1628975,1629021,1630217,1641724,1642869,1,1.0,free_throw,3,2026-03-11
22500947,161,1610612739,1610612753,203471,1628378,1628418,1631165,1642281,1628975,1629021,1630217,1641724,1642869,3,1.324,made_shot,3,2026-03-11
22500947,162,1610612753,1610612739,1628975,1629021,1630217,1641724,1642869,203471,1628378,1628418,1631165,1642281,0,0.0,period,3,2026-03-11
22500947,164,1610612739,1610612753,203471,1628378,1628418,1630596,1631165,1628975,1629021,1630217,1641724,1642869,2,2.0,made_shot,4,2026-03-11
22500947,165,1610612753,1610612739,1628975,1629021,1630217,1641724,1642869,203471,1628378,1628418,1630596,1631165,0,0.0,free_throw,4,2026-03-11
22500947,171,1610612753,1610612739,1628975,1629021,1630217,1641724,1642869,203471,1628378,1628418,1630596,1631165,2,2.0,free_throw,4,2026-03-11
22500947,172,1610612739,1610612753,203471,1628378,1628418,1630596,1631165,1628975,1629021,1630217,1641724,1642869,2,2.0,free_throw,4,2026-03-11
22500947,175,1610612753,1610612739,1628975,1629021,1630217,1641724,1642869,203471,1628378,1628418,1630596,1631165,2,2.0,made_shot,4,2026-03-11
22500947,176,1610612739,1610612753,203471,1628378,1628418,1630596,1631165,1628975,1629021,1630217,1641724,1642869,3,1.238,made_shot,4,2026-03-11
22500947,177,1610612753,1610612739,1628975,1629021,1630217,1641724,1642869,203471,1628378,1628418,1630596,1631165,0,0.0,defensive_rebound,4,2026-03-11
22500947,178,1610612739,1610612753,203471,1628378,1628418,1630596,1631165,1628975,1629021,1630217,1641724,1642869,0,0.0,defensive_rebound,4,2026-03-11
22500947,179,1610612753,1610612739,1628976,1630217,1630591,1631094,1641783,201935,1628378,1628418,1630241,1631165,0,0.0,defensive_rebound,4,2026-03-11
22500947,182,1610612739,1610612753,201935,1628378,1628418,1630241,1631165,1628976,1630217,1630591,1631094,1641783,0,0.0,defensive_rebound,4,2026-03-11
22500947,183,1610612753,1610612739,1628976,1630217,1630591,1631094,1641783,201935,1628378,1628418,1630241,1631165,2,2.0,made_shot,4,2026-03-11
22500947,185,1610612753,1610612739,1628976,1630217,1630591,1631094,1641783,201935,1629731,1630241,1630596,1631165,0,0.0,defensive_rebound,4,2026-03-11
22500947,186,1610612739,1610612753,201935,1629731,1630241,1630596,1631165,1628976,1630217,1630591,1631094,1641783,2,2.0,made_shot,4,2026-03-11
22500947,187,1610612753,1610612739,1628976,1630217,1630591,1631094,1641783,201935,1629731,1630241,1630596,1631165,2,2.0,made_shot,4,2026-03-11
22500947,188,1610612739,1610612753,201935,1629731,1630241,1630596,1631165,1628976,1630217,1630591,1631094,1641783,1,1.0,free_throw,4,2026-03-11
